buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.08,0.78,200,5202.9,16.51,-66.79,0.49
1.05,0.83,150,5191.52,16.5,-66.23,0.49
1.1,0.81,250,5183.35,16.49,-61.67,0.49
1.11,0.81,250,5183.35,16.49,-61.67,0.49
1.11,0.82,250,5183.35,16.49,-61.67,0.49
1.1,0.82,250,5183.35,16.49,-61.67,0.49
1.12,0.82,200,5165.27,16.48,-62.48,0.49
1.13,0.82,200,5165.27,16.48,-62.48,0.49
1.03,0.87,200,5153.65,16.47,-60.19,0.49
1.12,0.7,150,5146.52,16.46,-70.74,0.49
1.12,0.71,150,5146.52,16.46,-70.74,0.49
1.14,0.83,200,5137.54,16.45,-61.67,0.49
1.04,0.78,150,5128.61,16.44,-70.18,0.49
1.17,0.76,250,5112.61,16.43,-69.54,0.49
1.16,0.75,250,5112.61,16.43,-69.54,0.49
1.17,0.75,250,5112.61,16.43,-69.54,0.49
1.15,0.75,250,5112.61,16.43,-69.54,0.49
1.15,0.76,250,5112.61,16.43,-69.54,0.49
1.16,0.76,250,5112.61,16.43,-69.54,0.49
1.05,0.78,250,5109.35,16.43,-64.23,0.49
1.04,0.78,250,5109.35,16.43,-64.23,0.49
1.13,0.8,150,5101.22,16.42,-63.57,0.49
1.04,0.83,150,5083.07,16.4,-69.25,0.49
1.03,0.8,150,5081.21,16.4,-73.83,0.49
1.08,0.7,250,5081.02,16.4,-69.3,0.48
1.08,0.71,250,5081.02,16.4,-69.3,0.48
1.08,0.74,250,5081.02,16.4,-69.3,0.48
1.08,0.72,250,5081.02,16.4,-69.3,0.48
1.09,0.74,250,5081.02,16.4,-69.3,0.48
1.09,0.72,250,5081.02,16.4,-69.3,0.48
1.09,0.73,250,5081.02,16.4,-69.3,0.48
1.08,0.73,250,5081.02,16.4,-69.3,0.48
1.09,0.7,250,5081.02,16.4,-69.3,0.48
1.09,0.71,250,5081.02,16.4,-69.3,0.48
1.01,0.77,200,5066.8,16.39,-67.86,0.49
1.09,0.78,150,5063.18,16.39,-67.94,0.48
1.13,0.81,250,5062.0,16.39,-61.6,0.49
1.12,0.82,250,5062.0,16.39,-61.6,0.49
1.12,0.81,250,5062.0,16.39,-61.6,0.49
1.13,0.82,250,5062.0,16.39,-61.6,0.49
1.09,0.8,250,5061.71,16.39,-62.72,0.49
