buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.07,0.78,200,22463.64,23.18,-81.79,0.59
1.08,0.78,200,22463.64,23.18,-81.79,0.59
1.04,0.74,250,22444.48,23.18,-84.71,0.59
1.05,0.71,250,22444.48,23.18,-84.71,0.59
1.05,0.7,250,22444.48,23.18,-84.71,0.59
1.04,0.7,250,22444.48,23.18,-84.71,0.59
1.05,0.72,250,22444.48,23.18,-84.71,0.59
1.04,0.71,250,22444.48,23.18,-84.71,0.59
1.05,0.74,250,22444.48,23.18,-84.71,0.59
1.05,0.73,250,22444.48,23.18,-84.71,0.59
1.04,0.73,250,22444.48,23.18,-84.71,0.59
1.04,0.72,250,22444.48,23.18,-84.71,0.59
1.06,0.8,250,22420.55,23.17,-77.75,0.59
1.07,0.8,250,22420.55,23.17,-77.75,0.59
1.14,0.77,150,22377.18,23.16,-81.66,0.59
1.12,0.81,250,22325.09,23.15,-75.5,0.59
1.13,0.82,250,22325.09,23.15,-75.5,0.59
1.13,0.81,250,22325.09,23.15,-75.5,0.59
1.12,0.82,250,22325.09,23.15,-75.5,0.59
1.0,0.82,200,22302.38,23.15,-78.19,0.59
1.05,0.85,200,22232.28,23.13,-75.92,0.59
1.07,0.83,150,22190.73,23.12,-80.31,0.59
1.13,0.82,200,22171.01,23.12,-77.75,0.59
1.12,0.82,200,22171.01,23.12,-77.75,0.59
1.13,0.76,250,22118.55,23.11,-81.66,0.58
1.14,0.76,250,22118.55,23.11,-81.66,0.58
1.13,0.75,250,22118.55,23.11,-81.66,0.58
1.12,0.75,250,22118.55,23.11,-81.66,0.58
1.14,0.75,250,22118.55,23.11,-81.66,0.58
1.12,0.76,250,22118.55,23.11,-81.66,0.58
1.14,0.83,250,22096.19,23.1,-75.5,0.59
1.15,0.83,200,22096.19,23.1,-75.5,0.59
1.16,0.83,200,22096.19,23.1,-75.5,0.59
1.14,0.84,250,22096.19,23.1,-75.5,0.59
1.11,0.76,200,22078.87,23.1,-84.72,0.58
1.11,0.72,200,22078.87,23.1,-84.72,0.58
1.11,0.74,200,22078.87,23.1,-84.72,0.58
1.11,0.75,200,22078.87,23.1,-84.72,0.58
1.11,0.73,200,22078.87,23.1,-84.72,0.58
1.02,0.85,200,22049.67,23.09,-74.14,0.59
1.04,0.83,150,21899.16,23.06,-75.6,0.58
1.13,0.8,150,21822.03,23.05,-79.55,0.59
1.01,0.77,200,21751.97,23.03,-81.6,0.58
1.05,0.78,250,21745.61,23.03,-78.79,0.58
1.04,0.78,250,21745.61,23.03,-78.79,0.58
1.1,0.7,200,21707.37,23.02,-86.62,0.58
1.1,0.71,200,21707.37,23.02,-86.62,0.58
1.06,0.88,150,21636.88,23.01,-65.28,0.6
1.13,0.76,150,21620.74,23.0,-85.26,0.58
1.13,0.73,150,21620.74,23.0,-85.26,0.58
1.13,0.72,150,21620.74,23.0,-85.26,0.58
1.13,0.74,150,21620.74,23.0,-85.26,0.58
1.13,0.75,150,21620.74,23.0,-85.26,0.58
1.09,0.78,150,21508.92,22.98,-81.49,0.58
1.04,0.78,150,21466.05,22.97,-81.2,0.58
1.08,0.8,250,21446.35,22.96,-77.75,0.58
1.09,0.8,250,21446.35,22.96,-77.75,0.58
1.04,0.87,200,21373.82,22.95,-73.75,0.59
1.07,0.77,200,21270.93,22.93,-81.79,0.58
1.08,0.77,200,21270.93,22.93,-81.79,0.58
1.17,0.83,200,21174.44,22.9,-75.5,0.58
1.06,0.74,250,21170.28,22.9,-84.71,0.58
1.06,0.7,250,21170.28,22.9,-84.71,0.58
1.07,0.7,250,21170.28,22.9,-84.71,0.58
1.07,0.73,250,21170.28,22.9,-84.71,0.58
1.07,0.72,250,21170.28,22.9,-84.71,0.58
1.07,0.71,250,21170.28,22.9,-84.71,0.58
1.06,0.72,250,21170.28,22.9,-84.71,0.58
1.06,0.73,250,21170.28,22.9,-84.71,0.58
1.07,0.74,250,21170.28,22.9,-84.71,0.58
1.06,0.71,250,21170.28,22.9,-84.71,0.58
1.09,0.78,200,21135.94,22.9,-81.79,0.58
1.09,0.79,200,21135.94,22.9,-81.79,0.58
1.03,0.8,150,21065.57,22.88,-78.88,0.58
1.02,0.88,200,21045.44,22.88,-71.82,0.59
1.0,0.81,200,21010.5,22.87,-78.19,0.58
1.15,0.76,250,21008.18,22.87,-81.66,0.58
1.17,0.75,250,21008.18,22.87,-81.66,0.58
1.16,0.75,250,21008.18,22.87,-81.66,0.58
1.16,0.76,250,21008.18,22.87,-81.66,0.58
1.17,0.76,250,21008.18,22.87,-81.66,0.58
1.15,0.75,250,21008.18,22.87,-81.66,0.58
1.17,0.83,250,20986.93,22.86,-75.56,0.58
1.15,0.83,250,20986.93,22.86,-75.56,0.58
1.16,0.84,250,20986.93,22.86,-75.56,0.58
1.17,0.84,250,20986.93,22.86,-75.56,0.58
1.15,0.84,250,20986.93,22.86,-75.56,0.58
1.16,0.83,250,20986.93,22.86,-75.56,0.58
1.12,0.71,150,20976.94,22.86,-86.8,0.58
1.12,0.7,150,20976.94,22.86,-86.8,0.58
1.13,0.81,200,20886.7,22.84,-77.75,0.58
1.12,0.81,200,20886.7,22.84,-77.75,0.58
1.06,0.84,200,20845.04,22.83,-76.37,0.58
1.04,0.85,250,20819.82,22.82,-75.38,0.58
1.14,0.81,250,20816.2,22.82,-75.5,0.58
1.14,0.82,250,20816.2,22.82,-75.5,0.58
1.02,0.7,200,20815.55,22.82,-86.78,0.58
1.02,0.71,200,20815.55,22.82,-86.78,0.58
1.03,0.86,200,20770.58,22.81,-72.33,0.59
1.14,0.82,200,20672.48,22.79,-77.75,0.58
1.1,0.79,150,20598.27,22.77,-81.49,0.58
1.05,0.85,250,20358.76,22.72,-75.92,0.58
1.14,0.82,150,20288.63,22.7,-77.89,0.58
1.08,0.71,250,20250.16,22.69,-84.71,0.58
1.09,0.74,250,20250.16,22.69,-84.71,0.58
1.09,0.73,250,20250.16,22.69,-84.71,0.58
1.08,0.73,250,20250.16,22.69,-84.71,0.58
1.09,0.71,250,20250.16,22.69,-84.71,0.58
1.09,0.7,250,20250.16,22.69,-84.71,0.58
1.08,0.7,250,20250.16,22.69,-84.71,0.58
1.08,0.72,250,20250.16,22.69,-84.71,0.58
1.08,0.74,250,20250.16,22.69,-84.71,0.58
1.09,0.72,250,20250.16,22.69,-84.71,0.58
1.05,0.71,150,20215.24,22.69,-86.56,0.58
1.19,0.72,200,20084.32,22.66,-81.66,0.58
1.19,0.75,200,20084.32,22.66,-81.66,0.58
1.19,0.73,200,20084.32,22.66,-81.66,0.58
1.19,0.74,200,20084.32,22.66,-81.66,0.58
1.19,0.76,200,20084.32,22.66,-81.66,0.58
1.16,0.82,200,20054.03,22.65,-77.75,0.58
1.15,0.82,200,20054.03,22.65,-77.75,0.58
1.09,0.77,200,20013.42,22.64,-81.79,0.58
1.11,0.79,150,20006.41,22.64,-81.73,0.58
1.05,0.7,150,19988.75,22.63,-86.56,0.58
1.04,0.88,150,19986.24,22.63,-62.97,0.59
1.11,0.7,200,19794.8,22.59,-86.29,0.58
1.11,0.71,200,19794.8,22.59,-86.29,0.58
