buy,sell,total_ret,cagr,max_dd,sharpe
1.08,0.89,1580.27,19.3,-77.93,0.53
1.16,0.83,1572.9,19.27,-72.7,0.53
1.16,0.82,1572.9,19.27,-72.7,0.53
1.07,0.99,1499.25,18.93,-48.6,0.55
1.16,0.81,1476.43,18.83,-74.27,0.52
1.16,0.8,1463.82,18.77,-74.48,0.52
1.07,0.86,1458.99,18.75,-76.05,0.52
1.13,0.88,1448.8,18.7,-61.77,0.52
1.13,0.87,1448.8,18.7,-61.77,0.52
1.11,0.85,1433.1,18.62,-79.69,0.52
1.1,0.89,1423.36,18.57,-75.2,0.52
1.07,0.98,1423.33,18.57,-48.6,0.54
1.06,0.95,1359.4,18.26,-62.97,0.52
1.05,0.91,1346.26,18.19,-63.62,0.51
1.12,0.85,1323.21,18.07,-79.69,0.51
1.13,0.86,1319.41,18.05,-64.97,0.51
1.08,0.87,1316.31,18.03,-80.06,0.51
1.08,0.88,1316.31,18.03,-80.06,0.51
1.09,0.89,1304.96,17.98,-79.24,0.51
1.13,0.85,1266.97,17.77,-66.81,0.5
1.06,0.94,1234.7,17.6,-62.97,0.51
1.08,0.86,1197.99,17.39,-80.06,0.5
1.05,0.9,1192.38,17.36,-63.62,0.5
1.09,1.0,1186.39,17.33,-49.73,0.51
1.1,0.87,1184.05,17.31,-77.6,0.49
1.1,0.88,1184.05,17.31,-77.6,0.49
1.06,0.93,1165.33,17.21,-62.97,0.5
1.16,0.79,1165.09,17.2,-79.35,0.49
1.16,0.78,1165.09,17.2,-79.35,0.49
1.07,0.97,1155.68,17.15,-62.43,0.5
1.08,0.99,1153.59,17.14,-51.15,0.51
1.11,0.89,1140.33,17.06,-75.01,0.49
1.16,0.77,1098.22,16.81,-80.45,0.49
1.08,0.98,1094.08,16.78,-51.15,0.5
1.15,0.84,1092.65,16.77,-72.7,0.49
1.09,0.87,1084.25,16.72,-81.24,0.49
1.09,0.88,1084.25,16.72,-81.24,0.49
1.1,0.86,1076.78,16.67,-77.6,0.48
1.12,0.89,1051.42,16.52,-75.01,0.48
1.07,0.95,990.77,16.12,-62.43,0.48
1.09,0.86,985.31,16.09,-81.24,0.47
1.06,0.96,981.13,16.06,-62.97,0.48
1.11,0.87,945.48,15.81,-77.43,0.47
1.11,0.88,945.48,15.81,-77.43,0.47
1.06,0.92,922.42,15.65,-62.97,0.46
1.07,0.94,897.57,15.47,-62.83,0.46
1.12,0.88,870.54,15.28,-77.43,0.46
1.12,0.87,870.54,15.28,-77.43,0.46
1.11,0.86,858.14,15.18,-77.43,0.46
1.09,0.99,854.66,15.16,-54.04,0.46
1.14,0.89,854.11,15.15,-61.79,0.46
1.07,0.93,845.71,15.09,-62.83,0.45
1.09,0.98,809.34,14.81,-54.04,0.45
1.12,0.86,789.46,14.65,-77.43,0.45
1.08,0.97,764.51,14.45,-64.29,0.44
1.08,0.95,715.54,14.03,-67.23,0.43
1.14,0.88,709.23,13.97,-64.34,0.43
1.14,0.87,709.23,13.97,-64.34,0.43
1.06,0.91,687.76,13.78,-63.62,0.43
1.07,0.96,669.13,13.61,-62.43,0.42
1.07,0.92,664.17,13.57,-64.82,0.42
1.1,1.0,660.6,13.53,-48.9,0.43
1.08,0.94,645.86,13.39,-69.05,0.42
1.14,0.86,641.63,13.35,-67.32,0.42
1.14,0.85,613.99,13.08,-69.04,0.41
1.08,0.93,607.09,13.02,-69.05,0.41
1.06,0.9,603.94,12.98,-63.62,0.41
1.09,0.97,558.36,12.51,-66.4,0.4
1.16,0.84,556.79,12.49,-72.7,0.4
1.09,0.95,551.04,12.43,-69.17,0.4
1.15,0.89,527.46,12.17,-61.79,0.39
1.09,0.94,495.41,11.81,-70.88,0.38
1.07,0.91,488.78,11.73,-66.82,0.39
1.08,0.92,471.35,11.52,-70.71,0.38
1.1,0.99,464.46,11.43,-53.29,0.37
1.09,0.93,464.46,11.43,-70.88,0.38
1.1,0.98,437.67,11.1,-53.29,0.36
1.15,0.87,436.56,11.08,-64.34,0.36
1.15,0.88,436.56,11.08,-64.34,0.36
1.08,0.96,429.53,10.99,-65.63,0.37
1.07,0.9,426.13,10.94,-66.82,0.37
1.1,0.95,403.31,10.64,-65.53,0.36
1.11,1.0,402.61,10.63,-47.05,0.35
1.15,0.86,391.73,10.48,-67.32,0.35
1.15,0.85,375.01,10.24,-69.04,0.34
1.1,0.94,360.31,10.02,-67.44,0.34
1.13,0.95,356.95,9.97,-52.0,0.33
1.09,0.92,356.1,9.96,-72.44,0.35
1.08,0.91,340.22,9.71,-72.37,0.35
1.13,0.94,338.58,9.69,-52.0,0.33
1.1,0.93,336.38,9.65,-67.44,0.33
1.1,0.97,328.18,9.52,-62.44,0.33
1.13,0.93,315.78,9.32,-53.12,0.32
1.09,0.96,303.26,9.11,-67.66,0.32
1.18,0.71,295.58,8.98,-81.66,0.31
1.17,0.74,295.58,8.98,-81.66,0.31
1.17,0.72,295.58,8.98,-81.66,0.31
1.18,0.73,295.58,8.98,-81.66,0.31
1.18,0.76,295.58,8.98,-81.66,0.31
1.17,0.76,295.58,8.98,-81.66,0.31
1.17,0.73,295.58,8.98,-81.66,0.31
1.17,0.71,295.58,8.98,-81.66,0.31
1.18,0.72,295.58,8.98,-81.66,0.31
1.18,0.75,295.58,8.98,-81.66,0.31
1.18,0.74,295.58,8.98,-81.66,0.31
1.17,0.75,295.58,8.98,-81.66,0.31
1.08,0.9,293.38,8.95,-72.37,0.33
1.19,0.71,288.16,8.85,-81.66,0.31
1.19,0.72,288.16,8.85,-81.66,0.31
1.19,0.76,288.16,8.85,-81.66,0.31
1.19,0.74,288.16,8.85,-81.66,0.31
1.19,0.75,288.16,8.85,-81.66,0.31
1.19,0.73,288.16,8.85,-81.66,0.31
1.11,0.99,276.69,8.65,-51.11,0.3
1.17,1.0,273.38,8.59,-44.65,0.3
1.11,0.95,265.82,8.45,-67.35,0.3
1.13,1.0,264.43,8.43,-40.65,0.29
1.11,0.98,258.81,8.32,-51.11,0.29
1.1,0.92,252.61,8.2,-70.0,0.31
1.13,0.92,252.12,8.19,-56.71,0.29
1.09,0.91,251.42,8.18,-74.01,0.31
1.16,1.0,245.92,8.07,-44.65,0.28
1.11,0.94,236.98,7.9,-68.94,0.29
1.12,0.95,236.75,7.89,-67.63,0.28
1.14,1.0,236.59,7.89,-44.65,0.27
1.18,1.0,234.97,7.86,-43.39,0.27
1.15,1.0,234.48,7.85,-44.65,0.27
1.16,0.89,233.56,7.83,-61.79,0.27
1.19,1.0,228.69,7.73,-43.39,0.27
1.12,0.94,219.89,7.54,-68.24,0.28
1.11,0.93,219.47,7.54,-68.94,0.28
1.09,0.9,214.03,7.42,-74.01,0.3
1.17,0.99,209.69,7.33,-49.31,0.25
1.17,0.97,209.69,7.33,-49.31,0.25
1.17,0.98,209.69,7.33,-49.31,0.25
1.16,0.95,206.61,7.26,-52.37,0.25
1.17,0.82,204.53,7.21,-72.7,0.26
1.17,0.84,204.53,7.21,-72.7,0.26
1.17,0.83,204.53,7.21,-72.7,0.26
1.12,0.93,203.26,7.19,-68.24,0.27
1.16,0.94,196.88,7.04,-53.88,0.24
1.12,1.0,194.39,6.99,-48.49,0.24
1.16,0.87,191.75,6.93,-64.34,0.25
1.16,0.88,191.75,6.93,-64.34,0.25
1.13,0.99,191.2,6.91,-45.65,0.24
1.17,0.96,187.59,6.83,-52.37,0.23
1.17,0.81,186.97,6.82,-74.27,0.24
1.16,0.99,186.91,6.82,-49.31,0.23
1.11,0.97,185.74,6.79,-60.69,0.25
1.15,0.95,185.37,6.78,-52.37,0.23
1.13,0.91,185.3,6.78,-60.02,0.26
1.17,0.8,184.67,6.76,-74.48,0.24
1.16,0.98,184.61,6.76,-49.31,0.23
1.16,0.93,181.45,6.69,-56.28,0.23
1.18,0.97,181.27,6.68,-48.15,0.22
1.18,0.99,181.27,6.68,-48.15,0.22
1.18,0.98,181.27,6.68,-48.15,0.22
