buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.03,0.87,180,-5.36,-0.55,-78.55,0.09
1.08,0.97,60,-5.36,-0.55,-40.43,-0.13
1.19,0.99,120,-5.37,-0.55,-11.26,-1.07
1.1,0.89,180,-5.39,-0.55,-75.09,0.07
1.13,0.89,60,-5.49,-0.56,-57.29,-0.12
1.13,0.88,180,-5.61,-0.58,-75.82,0.04
1.01,0.87,240,-5.63,-0.58,-78.11,0.09
1.2,1.0,200,-5.74,-0.59,-9.3,-2.12
1.11,0.88,180,-5.77,-0.59,-76.6,0.06
1.02,0.86,180,-5.99,-0.62,-78.19,0.1
1.04,0.86,250,-6.0,-0.62,-76.22,0.09
1.19,0.98,120,-6.03,-0.62,-11.88,-1.05
1.15,0.97,60,-6.21,-0.64,-21.69,-0.5
1.03,0.97,250,-6.22,-0.64,-74.75,0.04
1.19,0.97,120,-6.5,-0.67,-11.88,-1.06
1.13,0.87,120,-6.55,-0.67,-77.44,0.04
1.03,1.0,120,-6.63,-0.68,-55.04,-0.05
1.11,0.92,60,-6.72,-0.69,-61.2,-0.06
1.2,0.98,200,-6.74,-0.69,-9.94,-1.88
1.2,0.97,200,-6.74,-0.69,-9.94,-1.88
1.2,0.99,200,-6.74,-0.69,-9.94,-1.88
1.02,0.93,250,-6.77,-0.7,-75.15,0.06
1.02,0.93,240,-6.77,-0.7,-75.15,0.06
1.15,0.96,60,-6.8,-0.7,-21.69,-0.5
1.07,0.96,200,-6.89,-0.71,-67.76,0.02
1.14,0.89,200,-6.96,-0.72,-74.26,0.01
1.14,0.9,200,-6.96,-0.72,-74.26,0.01
1.05,0.86,240,-7.06,-0.73,-76.22,0.08
1.0,0.87,250,-7.06,-0.73,-77.56,0.09
1.04,0.86,200,-7.06,-0.73,-76.22,0.08
1.13,0.86,200,-7.14,-0.74,-76.49,0.04
1.05,0.87,250,-7.2,-0.74,-75.54,0.08
1.08,0.84,120,-7.25,-0.75,-80.32,0.06
1.08,0.85,120,-7.25,-0.75,-80.32,0.06
1.16,0.95,60,-7.42,-0.77,-23.45,-0.58
1.07,0.88,120,-7.44,-0.77,-76.22,0.06
1.03,0.94,250,-7.48,-0.77,-75.09,0.06
1.19,0.96,120,-7.55,-0.78,-12.7,-0.99
1.0,0.95,200,-7.59,-0.79,-76.51,0.06
1.03,0.86,200,-7.59,-0.79,-77.69,0.09
1.05,0.95,240,-7.66,-0.79,-73.92,0.04
1.02,0.86,200,-7.7,-0.8,-77.71,0.09
1.09,0.99,120,-7.7,-0.8,-50.51,-0.08
1.06,0.96,200,-7.73,-0.8,-69.58,0.02
1.12,0.91,60,-7.77,-0.81,-59.03,-0.1
1.07,0.9,180,-7.83,-0.81,-73.97,0.07
1.08,0.9,200,-7.83,-0.81,-73.97,0.07
1.19,0.95,120,-7.83,-0.81,-12.7,-0.91
1.14,0.92,60,-7.85,-0.81,-46.66,-0.22
1.06,0.89,250,-7.97,-0.83,-73.97,0.07
1.06,0.9,250,-7.97,-0.83,-73.97,0.07
1.2,0.95,200,-8.14,-0.85,-11.3,-1.91
1.2,0.93,200,-8.14,-0.85,-11.3,-1.91
1.2,0.96,200,-8.14,-0.85,-11.3,-1.91
1.2,0.94,200,-8.14,-0.85,-11.3,-1.91
1.08,0.86,120,-8.18,-0.85,-80.32,0.06
1.11,1.0,120,-8.18,-0.85,-52.03,-0.1
1.13,0.87,180,-8.22,-0.85,-76.49,0.03
1.17,0.92,60,-8.24,-0.86,-18.65,-1.01
1.18,0.92,60,-8.24,-0.86,-18.65,-1.01
1.11,0.87,180,-8.38,-0.87,-77.25,0.05
1.03,0.94,180,-8.45,-0.88,-74.93,0.04
1.04,0.86,180,-8.6,-0.9,-77.18,0.08
1.08,0.96,60,-8.74,-0.91,-42.48,-0.15
1.03,0.94,240,-8.85,-0.92,-75.71,0.05
1.18,0.91,60,-8.95,-0.93,-19.28,-1.03
1.17,0.91,60,-8.95,-0.93,-19.28,-1.03
1.17,0.9,60,-8.95,-0.93,-19.28,-1.03
1.18,0.9,60,-8.95,-0.93,-19.28,-1.03
1.06,0.89,240,-8.99,-0.94,-73.97,0.07
1.06,0.9,240,-8.99,-0.94,-73.97,0.07
1.04,0.94,250,-9.02,-0.94,-75.09,0.05
1.18,1.0,120,-9.06,-0.95,-20.24,-0.57
1.04,0.93,180,-9.08,-0.95,-73.92,0.04
1.07,0.89,200,-9.14,-0.95,-73.97,0.07
1.04,1.0,120,-9.17,-0.96,-51.29,-0.07
1.16,1.0,60,-9.24,-0.96,-14.43,-1.03
1.17,0.89,60,-9.25,-0.97,-19.55,-1.03
1.18,0.89,60,-9.25,-0.97,-19.55,-1.03
1.08,0.99,120,-9.32,-0.97,-48.27,-0.09
1.01,0.88,200,-9.46,-0.99,-80.03,0.08
1.02,0.82,180,-9.55,-1.0,-81.19,0.12
1.06,1.0,120,-9.64,-1.01,-48.27,-0.09
1.12,0.9,60,-9.69,-1.01,-59.88,-0.11
1.15,0.95,60,-9.7,-1.02,-23.45,-0.52
1.19,0.94,120,-9.74,-1.02,-14.44,-0.89
1.01,0.94,180,-9.77,-1.02,-76.96,0.05
1.16,0.99,60,-9.82,-1.03,-13.74,-1.01
1.12,0.9,200,-9.99,-1.05,-75.86,0.04
1.2,0.92,200,-10.13,-1.06,-13.21,-1.76
1.07,0.89,180,-10.13,-1.06,-73.97,0.07
1.16,0.94,60,-10.14,-1.06,-25.32,-0.61
1.14,0.88,180,-10.26,-1.08,-73.52,0.02
1.03,0.86,180,-10.26,-1.08,-78.61,0.08
1.15,1.0,60,-10.27,-1.08,-20.79,-0.79
1.08,0.9,180,-10.29,-1.08,-73.97,0.06
1.05,0.95,250,-10.34,-1.09,-73.92,0.03
1.06,0.88,200,-10.35,-1.09,-75.54,0.07
1.05,0.88,180,-10.35,-1.09,-75.54,0.07
1.06,0.88,180,-10.35,-1.09,-75.54,0.07
1.06,0.96,240,-10.52,-1.11,-70.5,0.03
1.04,0.89,120,-10.56,-1.11,-77.08,0.07
1.1,0.99,120,-10.58,-1.11,-50.51,-0.1
1.01,0.92,240,-10.59,-1.11,-76.17,0.06
1.01,0.91,250,-10.59,-1.11,-76.17,0.06
